feature,mutual_information
has_nsubj,0.3666089572914146
n_subj,0.3625004947585848
order_subject_before_verb,0.3034894359336908
subj_animate,0.3022359692890133
verb_semantic_classes,0.29965765877063255
subj_is_pronoun,0.2953840228509992
subj_is_proper_noun,0.2926306562989922
order_type,0.28793474748628234
n_subj_nodes,0.2878060347671665
lemma_transitivity,0.2845811969382721
n_obj,0.2712635319142367
lemma_freq,0.2707782273790429
obj_is_proper_noun,0.2705377126835484
obj_animate,0.26919874172836766
obj_is_pronoun,0.2683759316430072
n_objs,0.26756201751772735
xpos,0.26023755628167167
lemma_freq_per_million,0.2598606996734172
this_passive_evidence,0.2576232025716192
subj_linear_distance,0.21585737802508276
verbnet_classes,0.2117879952804318
order_object_before_verb,0.20820645574224628
lemma_passive_rate,0.18796986485703093
verbform,0.14923143573605024
aux_lemmas,0.13639245192864768
participial,0.13040347210770276
tense,0.12169607750016964
has_ARG0,0.12104735222541096
n_subj_pass,0.11910829118128174
morph_marked,0.11557252740255652
obj_linear_distance,0.11476696377812767
clause_type,0.10531568863849605
has_nsubj_pass,0.10398624033814174
obj_definite,0.10100304791127424
has_ARG1,0.1003670754990651
has_aux_pass,0.10036289375331653
aux_be,0.07427323627961013
aux_present,0.06755873451322558
topic_max_prob,0.065118196201716
clause_finiteness,0.06465366397123518
topic_entropy,0.0644043479863472
nonfinite,0.05719474064011232
finite,0.05617446462175879
prep_complements,0.054171112008841726
is_stative,0.05254858741836377
subj_definite,0.0480380787565422
is_participial_clause,0.04609004574159936
subject_coref_count,0.03878447417640718
formality_score,0.03684911828309012
n_advmod,0.03515846657876809
number,0.031252059533266596
coordination_harmony,0.030303910931996914
conj_passive_evidence,0.030303891358898216
n_obl,0.03017594561597292
mood,0.02968333384775046
n_clausal_complements,0.028870636941924044
is_relcl_or_acl,0.028826774780953635
aux_modal,0.026501006630770263
has_agent_obl_agent,0.0251475789488651
n_compound,0.020648837032303025
has_agent_phrase,0.019844102233153693
person,0.015206697494793975
n_iobjs,0.011524389163206417
obj_tree_distance,0.009970111729828979
discourse_relation,0.008587621520933064
clitic_present,0.007981455492866552
sentence_pos_normalized,0.0077172211878340224
has_hedge_marker,0.007633870426726919
n_iobj,0.007265788547384133
paragraph_index,0.006971880490578952
has_agent_by_pp,0.006429819456211572
aux_have,0.005673512414580362
has_by_in_window,0.0035114880901783163
sentence_index,0.00328409775041405
n_ccomp,0.0017270068669772431
n_xcomp,0.000787333144381952
negated,0.0007293286523017972
aspect,0.0
subj_tree_distance,0.0
n_csubj,0.0
genre,0.0
paragraph_pos_normalized,0.0
aux_get,0.0
is_conjunct,0.0
