,0
verb_voice_morph_enc,0.0010989010989011394
has_aux_pass,0.0008964719491035611
lemma_transitivity,0.0
verb_polysemy,0.0
subj_person,0.0
subject_polysemy,0.0
subject_subtree_size,0.0
subject_subtree_depth,0.0
obj_person,0.0
object_polysemy,0.0
object_subtree_size,0.0
object_subtree_depth,0.0
subj_distance,0.0
obj_distance,0.0
verb_position,0.0
sentence_length,0.0
dep_depth,0.0
child_count,0.0
lemma_freq,0.0
subtree_size,0.0
subtree_depth,0.0
sentence_index_in_doc_normalized,0.0
sentence_index_in_doc,0.0
genre_passive_rate,0.0
doc_token_count,0.0
aux_count,0.0
doc_passive_rate,0.0
lemma_particle_rate,0.0
lemma_past_rate,0.0
lemma_pres_rate,0.0
verb_lemma_mention_count_before,0.0
subject_mention_count_before,0.0
object_mention_count_before,0.0
verb_form_participle,0.0
lemma_doc_freq,0.0
verb_aspect,0.0
is_modal,0.0
subj_present,0.0
is_aux_verb,0.0
subj_is_proper,0.0
subject_is_animate_wn,0.0
obj_present,0.0
subj_is_pronoun,0.0
obj_is_pronoun,0.0
obj_is_proper,0.0
negation,0.0
object_is_animate_wn,0.0
is_root,0.0
is_relative_clause,0.0
has_aux_have,0.0
verb_person,0.0
has_aux_be,0.0
has_aux_do,0.0
has_perfect,0.0
has_get_passive,0.0
agent_present,0.0
nmod_present,0.0
obl_present,0.0
has_progressive,0.0
conj_present,0.0
cc_present,0.0
xcomp_present,0.0
ccomp_present,0.0
has_xcomp_to,0.0
has_ccomp_that,0.0
mark_present,0.0
advmod_present,0.0
has_expletive_subject,0.0
has_nsubj,0.0
has_nsubj_pass,0.0
has_prep_by,0.0
has_prep_with,0.0
has_prep_for,0.0
has_prep_to,0.0
has_prep_from,0.0
has_prep_of,0.0
has_prep_on,0.0
has_prep_in,0.0
has_prep_at,0.0
has_prep_as,0.0
sentence_has_question_mark,0.0
sentence_has_exclamation,0.0
particle_present,0.0
sentence_has_semicolon,0.0
sentence_has_quotes,0.0
subject_seen_before_in_doc,0.0
verb_lemma_seen_before_in_doc,0.0
lemma_enc,0.0
verb_tense_enc,0.0
verb_form_enc,0.0
object_seen_before_in_doc,0.0
verb_mood_enc,0.0
verb_number_enc,0.0
verb_lexname_enc,0.0
subj_pos_type_enc,0.0
subj_number_enc,0.0
subj_definite_enc,0.0
subj_pron_type_enc,0.0
subject_lemma_enc,0.0
subject_lexname_enc,0.0
obj_type_enc,0.0
obj_pos_type_enc,0.0
obj_number_enc,0.0
obj_definite_enc,0.0
obj_pron_type_enc,0.0
object_lemma_enc,0.0
object_lexname_enc,0.0
prev_upos_enc,0.0
next_upos_enc,0.0
clause_type_enc,0.0
doc_id_enc,0.0
doc_genre_enc,0.0
previous_sentence_voice_enc,0.0
next_sentence_voice_enc,0.0
frame_signature_enc,0.0
