bin,count,P_active,P_passive
"(0.999, 4.0]",2083,0.7133941430628901,0.28660585693710994
"(4.0, 9.0]",1478,0.7476319350473613,0.2523680649526387
"(9.0, 18.0]",1793,0.814835471277189,0.18516452872281094
"(18.0, 30.0]",1615,0.7956656346749226,0.2043343653250774
"(30.0, 50.0]",1716,0.8589743589743589,0.14102564102564102
"(50.0, 107.0]",1713,0.8984238178633975,0.10157618213660245
"(107.0, 253.0]",1833,0.8919803600654664,0.10801963993453355
"(253.0, 365.0]",1654,0.9359129383313181,0.06408706166868199
"(365.0, 1839.0]",3405,0.6020558002936858,0.39794419970631423
